epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,299.002,0.86489,0.96457,1.08717,0.81315,0.99307,0.96605,0.70761,0.91457,0.77283,1.01911,0.000848969,0.000848969,0.000848969
43,306.089,0.95924,0.95617,1.12675,0.81821,0.94104,0.96644,0.70913,0.98597,0.79129,1.05211,0.000834822,0.000834822,0.000834822
44,313.153,0.90928,0.98206,1.11136,0.84309,0.92376,0.94721,0.7052,0.93377,0.76518,1.03093,0.000820675,0.000820675,0.000820675
45,320.212,0.82617,0.89889,1.07267,0.82482,0.92515,0.93873,0.71537,0.91865,0.77258,1.03117,0.000806528,0.000806528,0.000806528
46,327.283,0.88592,0.95245,1.10712,0.79024,0.8827,0.93029,0.71919,0.8865,0.79117,1.01662,0.00079238,0.00079238,0.00079238
47,334.356,0.87638,0.92093,1.08579,0.85811,0.88722,0.95881,0.71618,0.9296,0.80683,1.03375,0.000778233,0.000778233,0.000778233
48,341.381,0.89978,0.94188,1.13463,0.90051,0.91457,0.94953,0.70371,0.96013,0.77522,1.03472,0.000764086,0.000764086,0.000764086
49,348.426,0.88106,0.90379,1.10047,0.8484,0.94737,0.94517,0.70053,0.93842,0.78179,1.01736,0.000749939,0.000749939,0.000749939
50,355.481,0.87447,0.88641,1.05133,0.85268,0.92131,0.9108,0.68814,0.93438,0.81177,1.02354,0.000735792,0.000735792,0.000735792
51,362.541,0.89383,0.88338,1.10741,0.82705,0.9403,0.94101,0.71067,0.96284,0.77202,1.03238,0.000721645,0.000721645,0.000721645
52,369.577,0.89391,0.85333,1.06634,0.87512,0.93962,0.95944,0.74176,0.956,0.72453,1.00249,0.000707498,0.000707498,0.000707498
53,376.662,0.89351,0.92534,1.09918,0.88971,0.93524,0.96082,0.73103,0.95644,0.6928,1.00959,0.000693351,0.000693351,0.000693351
54,383.734,0.81643,0.80484,1.07291,0.86712,0.9298,0.94191,0.71478,0.92959,0.71994,1.00536,0.000679204,0.000679204,0.000679204
55,390.806,0.8126,0.86603,1.0276,0.84734,0.97359,0.94505,0.71855,0.89755,0.69351,0.9727,0.000665057,0.000665057,0.000665057
56,397.864,0.8848,0.83597,1.08007,0.84451,0.95887,0.94875,0.72157,1.00581,0.70918,0.9981,0.000650909,0.000650909,0.000650909
57,404.918,0.82643,0.83794,1.07185,0.86978,0.94769,0.95252,0.72409,0.94207,0.70297,0.98787,0.000636762,0.000636762,0.000636762
58,411.964,0.85261,0.84331,1.03681,0.84983,1,0.96351,0.74136,0.85375,0.67724,0.97184,0.000622615,0.000622615,0.000622615
